Name,Author,Genre,Length,Rating,status,Language,Origin,Date Finished,Date started,notes,ISBN,Review Link,Review/Content,Review/Date,Logs/0/Date,Logs/0/Log,Logs/0/Page
The Dutch House,Ann Patchett,⏳ Historical Fiction,352,⭐️⭐️⭐️⭐️,5. finished,EN,audiobook,15-Feb-22,12-Feb-22,,,,,,,,
The many lives of Heloise Starchild,John Ironmonger,"⏳ Historical Fiction, 👽 SciFi",288,⭐️⭐️⭐️⭐️⭐️,5. finished,EN,library,18-Mar-22,15-Mar-22,♥,,,,,,,
Great North Road,Peter F. Hamilton,👽 SciFi,1086,,4. to start again,EN,owned,,19-Feb-22,slow reading,,,,,,,
The Pull of the Stars,Emma Donoghue,⏳ Historical Fiction,295,⭐️⭐️⭐️⭐️,5. finished,EN,library,11-Mar-22,1-Mar-22,,,,,,,,
The Sound of Stars,Alechia Dow,"♥ Romance, 👽 SciFi",304,⭐️⭐️,5. finished,EN,ebook,26-Mar-22,5-Mar-22,"Hyper cringy, overly cheesy. 🤮",,,,,,,
The Paradox Hotel,Rob Hart,👽 SciFi,336,⭐️⭐️⭐️,5. finished,EN,audiobook,8-Mar-22,28-Feb-22,,,,,,,,
The Humans,Matt Haig,👽 SciFi,291,⭐️⭐️⭐️,5. finished,EN,audiobook,24-Feb-22,20-Feb-22,,,,,,,,
Shards of Earth,Adrian Tchaikovsky,👽 SciFi,561,⭐️⭐️⭐️⭐️⭐️,5. finished,EN,library,16-Feb-22,21-Jan-22,,,,,,,,
Lucid Dreaming: Gateway to the Inner Self,Robert Waggoner,👻 Metaphysical,320,⭐️⭐️⭐️⭐️,5. finished,EN,ebook,31-May-21,10-May-21,,,,,,,,
De coders,Clive Thompson,👩‍💻 Computer Science,396,⭐️⭐️⭐️⭐️,5. finished,NL,library,20-Jan-21,1-Nov-20,,,,,,,,
Toen God een Konijn Was,Sarah Winman,👁‍🗨 Fiction,300,⭐️⭐️⭐️,5. finished,NL,library,15-Feb-21,31-Jan-21,,,,,,,,
Cage of Souls,Adrian Tchaikovsky,👽 SciFi,602,⭐️⭐️⭐️⭐️⭐️,5. finished,EN,library,7-Aug-21,18-Jun-21,,,,,,,,
Ball Lightning,Liu Cixin,👽 SciFi,384,⭐️,5. finished,EN,library,6-Aug-21,8-Jul-21,,,,,,,,
"The Long Way to a Small, Angry Planet",Becky Chambers,👽 SciFi,404,⭐️⭐️⭐️⭐️⭐️,5. finished,EN,library,23-Aug-21,16-Aug-21,,,,,,,,
"That Time I Got Reincarnated as a Slime, Vol. 9",Fuse,🎌 Light Novel,674,⭐️⭐️⭐️⭐️,5. finished,EN,ebook,27-Oct-21,16-Oct-21,,,,,,,,
"That Time I Got Reincarnated as a Slime, Vol. 8",Fuse,🎌 Light Novel,674,⭐️⭐️⭐️,5. finished,EN,ebook,16-Oct-21,12-Oct-21,,,,,,,,
"That Time I Got Reincarnated as a Slime, Vol. 7",Fuse,🎌 Light Novel,365,⭐️⭐️⭐️⭐️⭐️,5. finished,EN,ebook,5-Oct-21,26-Sep-21,"107K words, officially 350 pages, but for some reason ebook is 730...",,,,,,,
A Flicker in the Dark,Stacy Willingham,🚔 Thriller,368,⭐️⭐️⭐️,5. finished,EN,audiobook,10-Feb-22,7-Feb-22,** spoiler alert ** I knew it! Since page one. This is why I don't read these kind of books. It was entertaining. But predictable.,,,,,,,
Station Eleven,Emily St. John Mandel,👽 SciFi,339,⭐️⭐️⭐️⭐️⭐️,5. finished,EN,owned,20-Jan-22,7-Dec-21,Re-read (first read was 2015),,,,,,,
Children of Ruin (Children of Time #2),Adrian Tchaikovsky,👽 SciFi,576,⭐️⭐️⭐️⭐️,5. finished,EN,ebook,6-Mar-20,2-Dec-19,,,,,,,,
"Pirates of Venus (Venus, #1)",Edgar Rice Burroughs,👽 SciFi,155,⭐️⭐️⭐️⭐️,5. finished,EN,ebook,13-Apr-20,11-Apr-20,,,,,,,,
"Lost on Venus (Venus, #2)",Edgar Rice Burroughs,👽 SciFi,192,⭐️⭐️⭐️⭐️,5. finished,EN,ebook,25-Apr-20,19-Apr-20,,,,,,,,
"Carson of Venus (Venus, #3)",Edgar Rice Burroughs,👽 SciFi,276,⭐️⭐️⭐️⭐️⭐️,5. finished,EN,ebook,27-Apr-20,26-Apr-20,,,,,,,,
Howl's Moving Castle (HMC #1),Diana Wynne Jones,🔮 Fantasy,300,⭐️⭐️⭐️⭐️,5. finished,EN,ebook,19-Apr-20,13-Apr-20,,,,,,,,
The School of Life: An Emotional Education,Alain de Botton,🧘‍♂️ Self-Help,310,⭐️⭐️⭐️,5. finished,EN,owned,5-May-20,22-Apr-20,,,,,,,,
Wool (Silo #1),Hugh Howey,👽 SciFi,378,⭐️⭐️⭐️⭐️⭐️,5. finished,EN,library,2-May-20,25-Apr-20,,,,,,,,
The Luminaries,Eleanor Catton,⏳ Historical Fiction,848,⭐️⭐️⭐️⭐️,5. finished,EN,owned,14-May-20,3-May-20,,,,,,,,
The Doll Factory,Elizabeth Macneal,⏳ Historical Fiction,336,⭐️⭐️⭐️⭐️⭐️,5. finished,EN,owned,16-May-20,15-May-20,,,,,,,,
Labyrinth (Languedoc #1),Kate Mosse,🔮 Fantasy,697,⭐️,5. finished,EN,owned,19-May-20,16-May-20,NTF,,,,,,,
The Incarnations,,🔮 Fantasy,478,⭐️⭐️⭐️⭐️⭐️,5. finished,EN,owned,20-May-20,19-May-20,,,,,,,,
The Calculating Stars,Mary Robinette Kowal,⏳ Historical Fiction,431,⭐️⭐️,5. finished,EN,library,28-May-20,22-May-20,,,,,,,,
The Mermaid and Mrs. Hancock,Imogen Hermes Gowar,⏳ Historical Fiction,487,⭐️⭐️⭐️⭐️⭐️,5. finished,EN,library,9-Jun-20,29-May-20,,,,,,,,
Oneness With All Life,Eckhart Tolle,👻 Metaphysical,192,⭐️⭐️⭐️⭐️,5. finished,EN,ebook,9-Jun-20,1-Jun-20,,,,,,,,
Gateways to Now,Eckhart Tolle,👻 Metaphysical,60,⭐️⭐️⭐️⭐️⭐️,5. finished,EN,audiobook,3-Jun-20,3-Jun-20,60 minutes,,,,,,,
Awakening in the Dream: Contact with the Divine,David Wilcock,👻 Metaphysical,565,⭐️⭐️,5. finished,EN,ebook,21-Jun-20,11-Jun-20,reminder not to buy any of his books again.,,,,,,,
Conscious Luck,Gay Hendricks,🧘‍♂️ Self-Help,145,⭐️⭐️⭐️,5. finished,EN,ebook,11-Jul-20,10-Jul-20,,,,,,,,
Salvation (Salvation Sequence #1),Peter F. Hamilton,👽 SciFi,532,⭐️⭐️⭐️,5. finished,EN,library,17-Jul-20,17-Jul-20,,,,,,,,
Too Much and Never Enough,Alain de Botton,🧔🏻 Biography,215,⭐️⭐️⭐️⭐️⭐️,5. finished,EN,ebook,2-Sep-20,11-Aug-20,,,,,,,,
The Dreamers,Karen Thompson Walker,👽 SciFi,303,⭐️⭐️⭐️⭐️,5. finished,EN,audiobook,18-Feb-22,16-Feb-22,,,,,,,,
To Sleep in a Sea of Stars,Christopher Paolini,👽 SciFi,846,,4. to start again,EN,library,,18-Apr-22,"restarting with audiobook in english, listens better than read",,,,,,,
Salvation Lost (Salvation Sequence #2),Peter F. Hamilton,👽 SciFi,480,,4. to start again,EN,library,,,,,,,,,,
Seveneves ,Neal Stephenson,👽 SciFi,867,⭐️⭐️,4. to start again,EN,library,29-Dec-21,28-Nov-21,NTF,,,,,,,
"That Time I Got Reincarnated as a Slime Light Novels, Vol. 10",Fuse,🎌 Light Novel,748,,2. paused,EN,ebook,,27-Oct-21,,,,,,,,
Inner Engineering,Sadhguru,👻 Metaphysical,250,,2. paused,EN,ebook,,8-Mar-21,,,,,,,,
Algorithms to Live By,Brian Christian,👩‍💻 Computer Science,368,,2. paused,EN,ebook,,,,,,,,,,
Hotel Lonely Hear,Heather O'Neill,⏳ Historical Fiction,391,,2. paused,NL,owned,,,,,,,,,,
Reality Transurfing,Vadim Zeland,👻 Metaphysical,669,,2. paused,EN,ebook,,22-Jul-20,Can’t find the other half,,,,,,,
"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,⏳ Historical Fiction,468,,2. paused,EN,library,,27-Sep-20,not sure why I stopped,,,,,,,
The Girl Who Fell Beneath the Sea,Axie Oh,"♥ Romance, 🔮 Fantasy",336,⭐️⭐️⭐️⭐️,5. finished,EN,audiobook,21-Mar-22,16-Mar-22,,,,,,,,
The Invisible Life of Addie LaRue,V.E. Schwab,🦄 Magical realism,560,⭐️⭐️⭐️⭐️⭐️,5. finished,EN,library,28-Mar-22,13-Mar-22,,,,,,,,
The Starless Sea,Erin Morgenstern,"🔮 Fantasy, 🦄 Magical realism",498,⭐️⭐️,5. finished,EN,audiobook,1-Apr-22,26-Mar-22,NTF,,,,,,,
Cloud Cuckoo Land,Anthony Doerr,"⏳ Historical Fiction, 👽 SciFi",626,⭐️⭐️⭐️⭐️⭐️,5. finished,EN,library,3-Apr-22,29-Mar-22,,,,,,,,
The Long War,Terry Pratchett ,👽 SciFi,419,⭐️⭐️⭐️,5. finished,EN,audiobook,15-Apr-22,2-Apr-22,interesting but plotless...,,,,,,,
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,♥ Romance,389,⭐️⭐️⭐️⭐️⭐️,5. finished,EN,library,9-Apr-22,7-Apr-22,"What a sad ending, yet beautiful, to be the last. To spear your loved ones from your absence.",,,,,,,
Project Hail Mary,Andy Weir,👽 SciFi,476,⭐️⭐️⭐️⭐️⭐️,5. finished,EN,library,16-Apr-22,10-Apr-22,Love love love the characters soooo much! ALL!,,,,,,,
Dear Emmi Blue,Lia Louis,♥ Romance,322,⭐️⭐️⭐️⭐️⭐️,5. finished,EN,library,19-Apr-22,18-Apr-22,my heart went puff with this book 🥰,,,,,,,
Love Lettering,Kate Clayborn,♥ Romance,307,⭐️⭐️⭐️,5. finished,EN,library,23-Apr-22,22-Apr-22,"Too much text about her feelings. It was well done, but not what I like.",,,,,,,
Zin,Jackie van Laren,♥ Romance,352,⭐️⭐️⭐️⭐️,5. finished,NL,library,5-May-22,23-Apr-22,last 4th of the book got repetitive. the rest highly entertaining.,,,,,,,
Eyes of the Void,Adrian Tchaikovsky,👽 SciFi,592,,3. to read,EN,to find,,,release May 3 2022,,,,,,,
Four Treasures Of The Sky,Jenny Tinghui Zhang,⏳ Historical Fiction,336,,3. to read,EN,to find,,,,,,,,,,
Gilded,Marissa Meyer,🔮 Fantasy,502,,3. to read,EN,to find,,,,,,,,,,
A House Between Earth and the Moon,Rebecca Scherm,👽 SciFi,396,,3. to read,EN,to find,,,,,,,,,,
The No-Show,Beth O'Leary,♥ Romance,352,,3. to read,EN,to find,,,,,,,,,,
The Note,Zoë Folbigg,♥ Romance,458,⭐️⭐️⭐️⭐️,5. finished,EN,library,16-May-22,15-May-22,,,,,,,,
Pachinko,Lee Min-jin,⏳ Historical Fiction,537,⭐️⭐️⭐️⭐️,5. finished,EN,owned,30-Jun-22,21-Jun-22,"I enjoyed it, except the last chapters… they were dry.",,,,,,,
World Engines: Destroyer,Stephen Baxter,👽 SciFi,576,⭐️⭐️⭐️⭐️,5. finished,EN,ebook,1-Aug-22,19-Jul-22,,,,,,,,
Eyes of the Void,Adrian Tchaikovsky,👽 SciFi,609,,1. reading,EN,ebook,,2-Jan-22,,,,,,,,
Children of Memory(Children of Time #3),Adrian Tchaikovsky,👽 SciFi,480,⭐️⭐️⭐️⭐️,5. finished,EN,ebook,1-Jun-23,1-Jan-23,The way the character was as confused as I was until the end where it makes sense and it was all on purpose. MindBlown,,,,,,,
A Cat Cafe Christmas ,Codi Gary,♥ Romance,375,⭐️⭐️⭐️,5. finished,EN,ebook,4-Jul-23,21-Jun-23,Sweet. Made me want cats but I'm allergic 😔,,,,,,,
